Table Product Code,Page,Product Code,Nominal Conductor Area (mm2),Nominal Conductor Diameter (mm),Nominal Insulation Thickness (mm),Approx. Cable Diameter (mm),Approx. Mass (kg/100m),Max. Pulling Tension on Conductor (kN),Max. Pulling Tension on Stocking Grip (kN),Min. Bending Radius*: During Installation (mm),Min. Bending Radius*: Set in Position (mm),"Max. Conductor Resistance, dc at 200C (Ω/km)","Conductor Resistance, ac at 900C & 50Hz (Ω/km)","Inductance, Trefoil Touching (mH/km)","Inductive Reactance, Trefoil Touching at 50Hz (Ω/km)",Zero Seq. Impedance at 200C & 50Hz (Ω/km),"Capacitance, Phase to Earth (μF/km)",Min. Insulation Resistance at 200C (MΩ.km),Electric Stress at Conductor Screen (kV/mm),Charging Current at Rated Voltage & 50Hz (A/phase/km),Short Circuit Rating,Continuous Current Rating,Inductance (mH/km),"Inductive Reactance, at 50Hz (Ω/km)",Max. Pulling Tension on Conductors (kN),Max. Pulling Tension on Armour Wires (kN),"Inductive, Trefoil Touching (mH/km)","Inductive Reactance, (Ω/km)"
3CALX6HDA,30,,35,7.1,2.5,49.4,370,,5.3,890,590,0.868,1.11,,,3.39+ j0.0709,0.296,"8,800",1.94,0.353,3.3,130,0.375,0.118,5.3,9.8,,
3CALX6HDA,30,,50,8.1,2.5,51.9,415,,7.5,930,620,0.641,0.822,,,2.46+ j0.0664,0.324,"8,000",1.90,0.387,4.7,155,0.360,0.113,7.5,11,,
3CALX6HDA,30,,70,9.8,2.5,56.0,480,,11,1010,670,0.443,0.568,,,1.70+ j0.0577,0.372,"6,900",1.84,0.444,6.6,190,0.332,0.104,11,13,,
3CALX6HDA,30,,95,11.5,2.5,60.2,555,,13,1080,720,0.320,0.411,,,1.26+ j0.0531,0.420,"6,100",1.80,0.501,9.0,225,0.317,0.0994,14,15,,
3CALX6HDA,30,,120,12.9,2.5,63.3,605,,14,1140,760,0.253,0.325,,,1.09+ j0.0502,0.458,"5,600",1.78,0.547,11.3,255,0.307,0.0964,18,16,,
3CALX6HDA,30,,150,14.2,2.5,66.6,670,,16,1200,800,0.206,0.265,,,1.05+ j0.0477,0.496,"5,100",1.76,0.592,14.2,285,0.298,0.0937,23,18,,
3CALX6HDA,30,,185,16.0,2.5,70.7,740,,18,1270,850,0.164,0.211,,,1.01+ j0.0442,0.545,"4,600",1.73,0.650,17.5,325,0.287,0.0901,25,21,,
3CALX6HDA,30,,240,18.1,2.6,78.1,940,,21,1410,940,0.125,0.162,,,0.967+ j0.0420,0.584,"4,300",1.65,0.697,22.7,375,0.279,0.0876,25,25,,
1CCUX11LD,31,1CCUX11LD,25,6.1,3.4,21.4,75,1.8,1.6,390,260,0.727,0.927,0.477,0.150,1.66+ j0.0833,0.211,"12,000",2.64,0.420,3.6,145,,,,,,
1CCUX11LD,31,,35,7.0,3.4,22.4,85,2.5,1.7,400,270,0.524,0.668,0.456,0.143,1.46+ j0.0778,0.230,"11,000",2.56,0.460,5.0,175,,,,,,
1CCUX11LD,31,,50,8.2,3.4,23.5,100,3.5,1.9,420,280,0.387,0.494,0.435,0.137,1.32+ j0.0724,0.254,"10,000",2.49,0.507,7.2,205,,,,,,
1CCUX11LD,31,,70,9.8,3.4,25.1,120,4.9,2.2,450,300,0.268,0.342,0.402,0.126,1.20+ j0.0633,0.289,"8,900",2.40,0.576,10.0,250,,,,,,
1CCUX11LD,31,,95,11.5,3.4,26.8,150,6.7,2.5,480,320,0.193,0.247,0.382,0.120,1.13+ j0.0583,0.324,"7,900",2.33,0.646,13.6,300,,,,,,
1CCUX11LD,31,,120,12.9,3.4,28.2,175,8.4,2.8,510,340,0.153,0.196,0.365,0.115,1.09+ j0.0541,0.353,"7,200",2.29,0.704,17.2,335,,,,,,
1CCUX11LD,31,,150,14.3,3.4,29.8,200,11,3.1,540,360,0.124,0.159,0.355,0.112,1.06+ j0.0513,0.382,"6,600",2.25,0.762,21.5,375,,,,,,
1CCUX11LD,31,,185,16.1,3.4,31.6,240,13,3.5,570,380,0.0991,0.128,0.343,0.108,1.03+ j0.0483,0.418,"6,000",2.22,0.834,26.5,425,,,,,,
1CCUX11LD,31,,240,18.2,3.4,34.0,295,17,4.0,610,410,0.0754,0.0981,0.332,0.104,1.01+ j0.0453,0.463,"5,400",2.18,0.924,34.3,490,,,,,,
1CCUX11LD,31,,300,20.6,3.4,36.7,360,21,4.7,660,440,0.0601,0.0791,0.322,0.101,0.995+ j0.0430,0.516,"4,900",2.14,1.03,42.9,550,,,,,,
1CCUX11LD,31,,400,23.5,3.4,40.4,445,25,5.7,730,480,0.0470,0.0632,0.314,0.0985,0.982+ j0.0409,0.586,"4,300",2.11,1.17,57.2,620,,,,,,
1CCUX11LD,31,,500,26.6,3.4,43.7,555,25,6.7,790,520,0.0366,0.0509,0.304,0.0955,0.973+ j0.0385,0.650,"3,900",2.08,1.30,71.5,700,,,,,,
1CCUX11LD,31,,630,30.3,3.4,47.6,690,25,7.9,860,570,0.0283,0.0415,0.296,0.0930,0.965+ j0.0366,0.725,"3,400",2.06,1.45,90.1,780,,,,,,
1CCUX11HD,32,1CCUX11HD,25,6.1,3.4,21.4,80,1.8,1.6,390,260,0.727,0.927,0.477,0.150,1.51+ j0.0833,0.211,"12,000",2.64,0.420,3.6,145,,,,,,
1CCUX11HD,32,,35,7.0,3.4,23.7,100,2.5,2.0,430,280,0.524,0.668,0.468,0.147,1.09+ j0.0801,0.230,"11,000",2.56,0.460,5.0,175,,,,,,
1CCUX11HD,32,,50,8.2,3.4,24.8,125,3.5,2.1,450,300,0.387,0.494,0.447,0.140,0.783+ j0.0745,0.254,"10,000",2.49,0.507,7.2,205,,,,,,
1CCUX11HD,32,,70,9.8,3.4,27.1,165,4.9,2.6,490,330,0.268,0.342,0.418,0.131,0.560+ j0.0663,0.289,"8,900",2.40,0.576,10,250,,,,,,
1CCUX11HD,32,,95,11.5,3.4,28.1,195,6.7,2.8,510,340,0.193,0.247,0.392,0.123,0.475+ j0.0601,0.324,"7,900",2.33,0.646,13.6,295,,,,,,
1CCUX11HD,32,,120,12.9,3.4,29.5,220,8.4,3.1,530,350,0.153,0.196,0.375,0.118,0.435+ j0.0559,0.353,"7,200",2.29,0.704,17.2,335,,,,,,
1CCUX11HD,32,,150,14.3,3.4,31.1,245,11,3.4,560,370,0.124,0.159,0.364,0.114,0.406+ j0.0529,0.382,"6,600",2.25,0.762,21.5,370,,,,,,
1CCUX11HD,32,,185,16.1,3.4,32.9,285,13,3.8,590,390,0.0991,0.128,0.352,0.110,0.381+ j0.0498,0.418,"6,000",2.22,0.834,26.5,415,,,,,,
1CCUX11HD,32,,240,18.2,3.4,35.3,340,17,4.4,630,420,0.0754,0.0980,0.339,0.107,0.358+ j0.0467,0.463,"5,400",2.18,0.924,34.3,475,,,,,,
1CCUX11HD,32,,300,20.6,3.4,38.0,405,21,5.1,680,460,0.0601,0.0790,0.330,0.104,0.343+ j0.0443,0.516,"4,900",2.14,1.03,42.9,530,,,,,,
1CCUX11HD,32,,400,23.5,3.4,41.7,495,25,6.1,750,500,0.0470,0.0630,0.320,0.101,0.330+ j0.0421,0.586,"4,300",2.11,1.17,57.2,595,,,,,,
1CCUX11HD,32,,500,26.6,3.4,45.0,600,25,7.1,810,540,0.0366,0.0507,0.310,0.0974,0.320+ j0.0395,0.650,"3,900",2.08,1.3,71.5,665,,,,,,
1CCUX11HD,32,,630,30.3,3.4,48.9,735,25,8.4,880,590,0.0283,0.0413,0.302,0.0948,0.312+ j0.0375,0.725,"3,400",2.06,1.45,90.1,735,,,,,,
3CCUX11LD,33,3CCUX11LD,25,6.1,3.4,42.6,195,5.3,5.3,770,510,0.727,0.927,,,3.46+ j0.0836,0.212,"12,000",2.64,0.422,3.6,140,0.415,0.13,,,,
3CCUX11LD,33,,35,7.0,3.4,44.6,230,7.4,7.0,800,540,0.524,0.668,,,3.26+ j0.0781,0.231,"11,000",2.56,0.461,5.0,165,0.397,0.125,,,,
3CCUX11LD,33,,50,8.2,3.4,47.3,270,11,7.8,850,570,0.387,0.494,,,3.12+ j0.0726,0.255,"10,000",2.49,0.509,7.2,195,0.379,0.119,,,,
3CCUX11LD,33,,70,9.8,3.4,51.2,345,15,9.2,920,610,0.268,0.342,,,2.79+ j0.0635,0.290,"8,900",2.40,0.578,10.0,235,0.350,0.110,,,,
3CCUX11LD,33,,95,11.5,3.4,55.1,440,20,11,990,660,0.193,0.247,,,2.54+ j0.0585,0.325,"7,900",2.33,0.648,13.6,280,0.333,0.105,,,,
3CCUX11LD,33,,120,12.9,3.4,58.3,520,25,12,1050,700,0.153,0.196,,,2.34+ j0.0543,0.354,"7,200",2.29,0.706,17.2,325,0.319,0.100,,,,
3CCUX11LD,33,,150,14.3,3.4,61.5,610,25,13,1110,740,0.124,0.159,,,2.17+ j0.0515,0.383,"6,600",2.25,0.764,21.5,365,0.310,0.0973,,,,
3CCUX11LD,33,,185,16.1,3.4,65.5,730,25,15,1180,790,0.0991,0.128,,,2.03+ j0.0485,0.419,"6,000",2.22,0.837,26.5,410,0.300,0.0942,,,,
3CCUX11LD,33,,240,18.2,3.4,70.6,915,25,17,1270,850,0.0754,0.0984,,,1.90+ j0.0454,0.465,"5,400",2.18,0.927,34.3,475,0.290,0.091,,,,
3CCUX11LD,33,,300,20.6,3.4,76.3,1110,25,20,1370,920,0.0601,0.0796,,,1.70+ j0.0431,0.518,"4,900",2.14,1.03,42.9,530,0.282,0.0885,,,,
3CCUX11LDA,34,3CCUX11LDA,25,6.1,3.4,51.3,430,,5.3,920,620,0.727,0.927,,,3.46+ j0.0836,0.212,"12,000",2.64,0.422,3.6,140,0.415,0.130,5.3,11,,
3CCUX11LDA,34,,35,7.0,3.4,53.5,475,,7.4,960,640,0.524,0.668,,,3.26+ j0.0781,0.231,"11,000",2.56,0.461,5.0,165,0.397,0.125,7.4,12,,
3CCUX11LDA,34,,50,8.2,3.4,56.3,535,,11,1010,680,0.387,0.494,,,3.12+ j0.0726,0.255,"10,000",2.49,0.509,7.2,195,0.379,0.119,11,13,,
3CCUX11LDA,34,,70,9.8,3.4,60.4,630,,13,1090,720,0.268,0.342,,,2.79+ j0.0635,0.290,"8,900",2.40,0.578,10.0,235,0.350,0.110,15,15,,
3CCUX11LDA,34,,95,11.5,3.4,64.2,745,,14,1160,770,0.193,0.247,,,2.54+ j0.0585,0.325,"7,900",2.33,0.648,13.6,280,0.333,0.105,20,17,,
3CCUX11LDA,34,,120,12.9,3.4,67.7,850,,16,1220,810,0.153,0.196,,,2.34+ j0.0543,0.354,"7,200",2.29,0.706,17.2,325,0.319,0.100,25,19,,
3CCUX11LDA,34,,150,14.3,3.4,71.1,955,,18,1280,850,0.124,0.159,,,2.17+ j0.0515,0.383,"6,600",2.25,0.764,21.5,365,0.310,0.0973,25,21,,
3CCUX11LDA,34,,185,16.1,3.4,75.2,1100,,20,1350,900,0.0991,0.128,,,2.03+ j0.0485,0.419,"6,000",2.22,0.837,26.5,410,0.300,0.0942,25,23,,
3CCUX11LDA,34,,240,18.2,3.4,82.1,1400,,24,1480,980,0.0754,0.0984,,,1.90+ j0.0454,0.465,"5,400",2.18,0.927,34.3,475,0.290,0.0910,25,25,,
3CCUX11HD,35,3CCUX11HD,25,6.1,3.4,42.6,195,5.3,5.3,770,510,0.727,0.927,,,3.07+ j0.0836,0.212,"12,000",2.64,0.422,3.6,135,0.415,0.130,,,,
3CCUX11HD,35,,35,7.0,3.4,44.8,245,7.4,7.0,810,540,0.524,0.668,,,2.16+ j0.0781,0.231,"11,000",2.56,0.461,5.0,165,0.397,0.125,,,,
3CCUX11HD,35,,50,8.2,3.4,47.5,300,11,7.9,850,570,0.387,0.494,,,1.56+ j0.0726,0.255,"10,000",2.49,0.509,7.2,195,0.379,0.119,,,,
3CCUX11HD,35,,70,9.8,3.4,51.2,390,15,9.2,920,610,0.268,0.342,,,1.11+ j0.0635,0.290,"8,900",2.4,0.578,10,245,0.35,0.110,,,,
3CCUX11HD,35,,95,11.5,3.4,55.1,480,20,11,990,660,0.193,0.247,,,1.03+ j0.0585,0.325,"7,900",2.33,0.648,13.6,290,0.333,0.105,,,,
3CCUX11HD,35,,120,12.9,3.4,58.3,560,25,12,1050,700,0.153,0.196,,,0.995+ j0.0543,0.354,"7,200",2.29,0.706,17.2,330,0.319,0.100,,,,
3CCUX11HD,35,,150,14.3,3.4,61.5,645,25,13,1110,740,0.124,0.159,,,0.966+ j0.0515,0.383,"6,600",2.25,0.764,21.5,370,0.310,0.0973,,,,
3CCUX11HD,35,,185,16.1,3.4,65.5,765,25,15,1180,790,0.0991,0.128,,,0.941+ j0.0485,0.419,"6,000",2.22,0.837,26.5,410,0.300,0.0942,,,,
3CCUX11HD,35,,240,18.2,3.4,70.6,945,25,17,1270,850,0.0754,0.0984,,,0.917+ j0.0454,0.465,"5,400",2.18,0.927,34.3,475,0.29,0.0910,,,,
3CCUX11HD,35,,300,20.6,3.4,76.3,1140,25,20,1370,920,0.0601,0.0796,,,0.902+ j0.0431,0.518,"4,900",2.14,1.03,42.9,530,0.282,0.0885,,,,
3CCUX11LDA,36,3CCUX11LDA,25,6.1,3.4,51.3,430,,5.3,920,620,0.727,0.927,,,3.07+ j0.0836,0.212,"12,000",2.64,0.422,3.6,135,0.415,0.130,5.3,11,,
3CCUX11LDA,36,,35,7.0,3.4,53.7,495,,7.4,970,640,0.524,0.668,,,2.16+ j0.0781,0.231,"11,000",2.56,0.461,5.0,165,0.397,0.125,7.4,12,,
3CCUX11LDA,36,,50,8.2,3.4,56.3,560,,11,1010,680,0.387,0.494,,,1.56+ j0.0726,0.255,"10,000",2.49,0.509,7.2,195,0.379,0.119,11,13,,
3CCUX11LDA,36,,70,9.8,3.4,60.4,675,,13,1090,720,0.268,0.342,,,1.11+ j0.0635,0.290,"8,900",2.4,0.578,10.0,245,0.350,0.110,15,15,,
3CCUX11LDA,36,,95,11.5,3.4,64.4,795,,15,1160,770,0.193,0.247,,,1.03+ j0.0585,0.325,"7,900",2.33,0.648,13.6,290,0.333,0.105,20,17,,
3CCUX11LDA,36,,120,12.9,3.4,67.9,890,,16,1220,810,0.153,0.196,,,0.995+ j0.0543,0.354,"7,200",2.29,0.706,17.2,330,0.319,0.100,25,19,,
3CCUX11LDA,36,,150,14.3,3.4,71.3,995,,18,1280,860,0.124,0.159,,,0.966+ j0.0515,0.383,"6,600",2.25,0.764,21.5,370,0.310,0.0973,25,21,,
3CCUX11LDA,36,,185,16.1,3.4,76.7,1220,,21,1380,920,0.0991,0.128,,,0.941+ j0.0485,0.419,"6,000",2.22,0.837,26.5,410,0.300,0.0942,25,24,,
3CCUX11LDA,36,,240,18.2,3.4,82.1,1440,,24,1480,980,0.0754,0.0984,,,0.917+ j0.0454,0.465,"5,400",2.18,0.927,34.3,475,0.290,0.0910,25,25,,
1CALX11LD,37,1CALX11LD,25,6.1,3.4,21.4,55,1.3,1.3,380,260,1.20,1.54,0.478,0.150,2.37+ j0.0836,0.210,"12,000",2.65,0.419,2.4,115,,,,,,
1CALX11LD,37,,35,7.1,3.4,22.4,65,1.8,1.8,400,270,0.868,1.11,0.455,0.143,1.80+ j0.0774,0.232,"11,000",2.56,0.463,3.3,135,,,,,,
1CALX11LD,37,,50,8.1,3.4,23.4,70,2.5,1.9,420,280,0.641,0.822,0.436,0.137,1.57+ j0.0726,0.253,"10,000",2.49,0.505,4.7,160,,,,,,
1CALX11LD,37,,70,9.8,3.4,25.1,80,3.5,2.2,450,300,0.443,0.568,0.402,0.126,1.38+ j0.0633,0.289,"8,900",2.40,0.576,6.6,195,,,,,,
1CALX11LD,37,,95,11.5,3.4,26.8,90,4.8,2.5,480,320,0.320,0.411,0.382,0.120,1.25+ j0.0583,0.324,"7,900",2.33,0.646,9.0,230,,,,,,
1CALX11LD,37,,120,12.9,3.4,28.2,100,6.0,2.8,510,340,0.253,0.325,0.369,0.116,1.19+ j0.0551,0.352,"7,200",2.29,0.702,11.3,260,,,,,,
1CALX11LD,37,,150,14.2,3.4,29.7,110,7.5,3.1,540,360,0.206,0.265,0.359,0.113,1.14+ j0.0523,0.380,"6,600",2.25,0.758,14.2,290,,,,,,
1CALX11LD,37,,185,16,3.4,31.5,125,9.3,3.5,570,380,0.164,0.211,0.344,0.108,1.10+ j0.0485,0.416,"6,000",2.22,0.830,17.5,330,,,,,,
1CALX11LD,37,,240,18.1,3.4,33.8,150,12,4.0,610,410,0.125,0.161,0.332,0.104,1.06+ j0.0454,0.460,"5,400",2.18,0.918,22.7,380,,,,,,
1CALX11LD,37,,300,20.6,3.4,36.7,175,15,4.7,660,440,0.100,0.130,0.322,0.101,1.03+ j0.0430,0.516,"4,900",2.14,1.03,28.3,425,,,,,,
1CALX11LD,37,,400,23.5,3.4,40.4,210,20,5.7,730,480,0.0778,0.102,0.315,0.099,1.01+ j0.0413,0.586,"4,300",2.11,1.17,37.8,480,,,,,,
1CALX11LD,37,,500,26.6,3.4,43.7,245,25,6.7,790,520,0.0605,0.0803,0.305,0.096,0.996+ j0.0389,0.650,"3,900",2.08,1.30,47.2,545,,,,,,
1CALX11LD,37,,630,30.2,3.4,47.5,295,25,7.9,860,570,0.0469,0.0637,0.296,0.093,0.982+ j0.0366,0.724,"3,400",2.06,1.44,59.5,615,,,,,,
1CALX11LD,38,1CALX11LD,25,6.1,3.4,21.4,55,1.3,1.3,380,260,1.20,1.54,0.478,0.150,2.37+ j0.0836,0.210,"12,000",2.65,0.419,2.4,115,,,,,,
1CALX11LD,38,,35,7.1,3.4,22.4,65,1.8,1.8,400,270,0.868,1.11,0.455,0.143,1.71+ j0.0774,0.232,"11,000",2.56,0.463,3.3,135,,,,,,
1CALX11LD,38,,50,8.1,3.4,24.7,80,2.5,2.1,450,300,0.641,0.822,0.447,0.141,1.24+ j0.0747,0.253,"10,000",2.49,0.505,4.7,160,,,,,,
1CALX11LD,38,,70,9.8,3.4,26.4,100,3.5,2.4,480,320,0.443,0.568,0.412,0.129,0.871+ j0.0653,0.289,"8,900",2.40,0.576,6.6,195,,,,,,
1CALX11LD,38,,95,11.5,3.4,28.1,130,4.8,2.8,510,340,0.320,0.411,0.392,0.123,0.635+ j0.0601,0.324,"7,900",2.33,0.646,9.0,230,,,,,,
1CALX11LD,38,,120,12.9,3.4,29.5,145,6.0,3.0,530,350,0.253,0.325,0.378,0.119,0.535+ j0.0568,0.352,"7,200",2.29,0.702,11.3,260,,,,,,
1CALX11LD,38,,150,14.2,3.4,31.0,155,7.5,3.4,560,370,0.206,0.265,0.368,0.116,0.488+ j0.0539,0.380,"6,600",2.25,0.758,14.2,290,,,,,,
1CALX11LD,38,,185,16.0,3.4,32.8,170,9.3,3.8,590,390,0.164,0.211,0.352,0.111,0.446+ j0.0500,0.416,"6,000",2.22,0.830,17.5,330,,,,,,
1CALX11LD,38,,240,18.1,3.4,35.1,195,12,4.3,630,420,0.125,0.161,0.340,0.107,0.407+ j0.0469,0.460,"5,400",2.18,0.918,22.7,380,,,,,,
1CALX11LD,38,,300,20.6,3.4,38.0,220,15,5.1,680,460,0.100,0.130,0.330,0.104,0.382+ j0.0443,0.516,"4,900",2.14,1.03,28.3,425,,,,,,
1CALX11LD,38,,400,23.5,3.4,41.7,255,20,6.1,750,500,0.0778,0.102,0.322,0.101,0.360+ j0.0425,0.586,"4,300",2.11,1.17,37.8,480,,,,,,
1CALX11LD,38,,500,26.6,3.4,45.0,290,25,7.1,810,540,0.0605,0.0802,0.312,0.0979,0.343+ j0.0400,0.650,"3,900",2.08,1.30,47.2,545,,,,,,
1CALX11LD,38,,630,30.2,3.4,48.8,340,25,8.3,880,590,0.0469,0.0636,0.302,0.0948,0.330+ j0.0376,0.724,"3,400",2.06,1.44,59.5,615,,,,,,
3CALX11LD,39,3CALX11LD,25,6.1,3.4,42.3,140,3.8,3.8,760,510,1.20,1.54,,,4.48+ j0.0839,0.211,"12,000",2.65,0.420,2.4,110,0.416,0.131,,,,
3CALX11LD,39,,35,7.1,3.4,44.8,160,5.3,5.3,810,540,0.868,1.11,,,3.60+ j0.0777,0.233,"11,000",2.56,0.465,3.3,130,0.396,0.124,,,,
3CALX11LD,39,,50,8.1,3.4,47.2,185,7.5,7.5,850,570,0.641,0.822,,,3.37+ j0.0728,0.254,"10,000",2.49,0.507,4.7,155,0.380,0.119,,,,
3CALX11LD,39,,70,9.8,3.4,51.2,220,11,9.2,920,610,0.443,0.568,,,2.97+ j0.0635,0.290,"8,900",2.40,0.578,6.6,185,0.350,0.110,,,,
3CALX11LD,39,,95,11.5,3.4,55.1,265,14,11,990,660,0.320,0.411,,,2.66+ j0.0585,0.325,"7,900",2.33,0.648,9.0,220,0.333,0.105,,,,
3CALX11LD,39,,120,12.9,3.4,58.2,295,18,12,1050,700,0.253,0.325,,,2.44+ j0.0553,0.353,"7,200",2.29,0.704,11.3,250,0.322,0.101,,,,
3CALX11LD,39,,150,14.2,3.4,61.3,340,23,13,1100,740,0.206,0.265,,,2.26+ j0.0525,0.381,"6,600",2.25,0.760,14.2,285,0.313,0.0983,,,,
3CALX11LD,39,,185,16.0,3.4,65.3,390,25,15,1170,780,0.164,0.211,,,2.09+ j0.0487,0.417,"6,000",2.22,0.833,17.5,325,0.300,0.0944,,,,
3CALX11LD,39,,240,18.1,3.4,70.3,465,25,17,1270,840,0.125,0.162,,,1.95+ j0.0456,0.462,"5,400",2.18,0.921,22.7,370,0.290,0.0912,,,,
3CALX11LD,39,,300,20.6,3.4,76.3,550,25,20,1370,920,0.100,0.130,,,1.74+ j0.0431,0.518,"4,900",2.14,1.03,28.3,420,0.282,0.0885,,,,
3CALX11LDA,40,3CALX11LDA,25,6.1,3.4,51.2,375,,3.8,920,610,1.20,1.54,,,4.48+ j0.0839,0.211,"12,000",2.65,0.420,2.4,110,0.416,0.131,3.8,11,,
3CALX11LDA,40,,35,7.1,3.4,53.7,415,,5.3,970,640,0.868,1.11,,,3.60+ j0.0777,0.233,"11,000",2.56,0.465,3.3,130,0.396,0.124,5.3,12,,
3CALX11LDA,40,,50,8.1,3.4,56.2,450,,7.5,1010,670,0.641,0.822,,,3.37+ j0.0728,0.254,"10,000",2.49,0.507,4.7,155,0.380,0.119,7.5,13,,
3CALX11LDA,40,,70,9.8,3.4,60.4,505,,11,1090,720,0.443,0.568,,,2.97+ j0.0635,0.290,"8,900",2.40,0.578,6.6,185,0.350,0.110,11,15,,
3CALX11LDA,40,,95,11.5,3.4,64.2,570,,14,1160,770,0.320,0.411,,,2.66+ j0.0585,0.325,"7,900",2.33,0.648,9.0,220,0.333,0.105,14,17,,
3CALX11LDA,40,,120,12.9,3.4,67.5,625,,16,1220,810,0.253,0.325,,,2.44+ j0.0553,0.353,"7,200",2.29,0.704,11.3,250,0.322,0.101,18,19,,
3CALX11LDA,40,,150,14.2,3.4,70.9,685,,18,1280,850,0.206,0.265,,,2.26+ j0.0525,0.381,"6,600",2.25,0.760,14.2,285,0.313,0.0983,23,21,,
3CALX11LDA,40,,185,16.0,3.4,75.0,760,,20,1350,900,0.164,0.211,,,2.09+ j0.0487,0.417,"6,000",2.22,0.833,17.5,325,0.300,0.0944,25,23,,
3CALX11LDA,40,,240,18.1,3.4,81.8,960,,23,1470,980,0.125,0.162,,,1.95+ j0.0456,0.462,"5,400",2.18,0.921,22.7,370,0.290,0.0912,25,25,,
3CALX11HD,41,3CALX11HD,25,6.1,3.4,42.5,145,3.8,3.8,770,510,1.20,1.54,,,4.18+ j0.0839,0.211,"12,000",2.65,0.420,2.4,110,0.416,0.131,,,,
3CALX11HD,41,,35,7.1,3.4,44.8,165,5.3,5.3,810,540,0.868,1.11,,,3.39+ j0.0777,0.233,"11,000",2.56,0.465,3.3,130,0.396,0.124,,,,
3CALX11HD,41,,50,8.1,3.4,47.4,195,7.5,7.5,850,570,0.641,0.822,,,2.46+ j0.0728,0.254,"10,000",2.49,0.507,4.7,155,0.380,0.119,,,,
3CALX11HD,41,,70,9.8,3.4,51.2,240,11,9.2,920,610,0.443,0.568,,,1.70+ j0.0635,0.290,"8,900",2.40,0.578,6.6,190,0.350,0.110,,,,
3CALX11HD,41,,95,11.5,3.4,55.1,300,14,11,990,660,0.320,0.411,,,1.26+ j0.0585,0.325,"7,900",2.33,0.648,9.0,225,0.333,0.105,,,,
3CALX11HD,41,,120,12.9,3.4,58.2,335,18,12,1050,700,0.253,0.325,,,1.09+ j0.0553,0.353,"7,200",2.29,0.704,11.3,255,0.322,0.101,,,,
3CALX11HD,41,,150,14.2,3.4,61.3,375,23,13,1100,740,0.206,0.265,,,1.05+ j0.0525,0.381,"6,600",2.25,0.760,14.2,285,0.313,0.0983,,,,
3CALX11HD,41,,185,16.0,3.4,65.3,425,25,15,1170,780,0.164,0.211,,,1.01+ j0.0487,0.417,"6,000",2.22,0.833,17.5,325,0.300,0.0944,,,,
3CALX11HD,41,,240,18.1,3.4,70.3,500,25,17,1270,840,0.125,0.162,,,0.967+ j0.0456,0.462,"5,400",2.18,0.921,22.7,370,0.290,0.0912,,,,
3CALX11HD,41,,300,20.6,3.4,76.3,585,25,20,1370,920,0.100,0.130,,,0.942+ j0.0431,0.518,"4,900",2.14,1.03,28.3,420,0.282,0.0885,,,,
3CALX11HDA,42,3CALX11HDA,25,6.1,3.4,51.2,380,,3.8,920,610,1.20,1.54,,,4.18+ j0.0839,0.211,"12,000",2.65,0.420,2.4,110,0.416,0.131,3.8,11,,
3CALX11HDA,42,,35,7.1,3.4,53.7,415,,5.3,970,640,0.868,1.11,,,3.39+ j0.0777,0.233,"11,000",2.56,0.465,3.3,130,0.396,0.124,5.3,12,,
3CALX11HDA,42,,50,8.1,3.4,56.2,460,,7.5,1010,670,0.641,0.822,,,2.46+ j0.0728,0.254,"10,000",2.49,0.507,4.7,155,0.380,0.119,7.5,13,,
3CALX11HDA,42,,70,9.8,3.4,60.4,525,,11,1090,720,0.443,0.568,,,1.70+ j0.0635,0.290,"8,900",2.40,0.578,6.6,190,0.350,0.110,11,15,,
3CALX11HDA,42,,95,11.5,3.4,64.4,610,,14,1160,770,0.320,0.411,,,1.26+ j0.0585,0.325,"7,900",2.33,0.648,9.0,225,0.333,0.105,14,17,,
3CALX11HDA,42,,120,12.9,3.4,67.7,665,,16,1220,810,0.253,0.325,,,1.09+ j0.0553,0.353,"7,200",2.29,0.704,11.3,255,0.322,0.101,18,19,,
3CALX11HDA,42,,150,14.2,3.4,71.1,725,,18,1280,850,0.206,0.265,,,1.05+ j0.0525,0.381,"6,600",2.25,0.760,14.2,285,0.313,0.0983,23,21,,
3CALX11HDA,42,,185,16.0,3.4,76.5,880,,20,1380,920,0.164,0.211,,,1.01+ j0.0487,0.417,"6,000",2.22,0.833,17.5,325,0.300,0.0944,25,24,,
3CALX11HDA,42,,240,18.1,3.4,81.8,990,,23,1470,980,0.125,0.162,,,0.967+ j0.0456,0.462,"5,400",2.18,0.921,22.7,370,0.290,0.0912,25,25,,
1CCUX22LD,43,1CCUX22LD,35,7.0,5.5,26.6,100,2.5,2.5,480,320,0.524,0.668,0.492,0.155,1.46+ j0.0913,0.164,"16,000",3.64,0.652,5.0,175,,,,,,
1CCUX22LD,43,,50,8.2,5.5,27.7,115,3.5,2.7,500,330,0.387,0.494,0.470,0.148,1.32+ j0.0851,0.179,"14,000",3.49,0.713,7.2,205,,,,,,
1CCUX22LD,43,,70,9.8,5.5,29.5,140,4.9,3.1,530,350,0.268,0.342,0.435,0.137,1.20+ j0.0751,0.200,"13,000",3.33,0.799,10.0,250,,,,,,
1CCUX22LD,43,,95,11.5,5.5,31.2,165,6.7,3.4,560,370,0.193,0.247,0.414,0.130,1.13+ j0.0693,0.223,"11,000",3.21,0.888,13.6,300,,,,,,
