Table Product Code,Page,Product Code,Nominal Conductor Area (mm2),Nominal Conductor Diameter (mm),Nominal Insulation Thickness (mm),Approx. Cable Diameter (mm),Approx. Mass (kg/100m),Max. Pulling Tension on Conductor (kN),Max. Pulling Tension on Stocking Grip (kN),Min. Bending Radius*: During Installation (mm),Min. Bending Radius*: Set in Position (mm),"Max. Conductor Resistance, dc at 200C (Ω/km)","Conductor Resistance, ac at 900C & 50Hz (Ω/km)","Inductance, Trefoil Touching (mH/km)","Inductive Reactance, Trefoil Touching at 50Hz (Ω/km)",Zero Seq. Impedance at 200C & 50Hz (Ω/km),"Capacitance, Phase to Earth (μF/km)",Min. Insulation Resistance at 200C (MΩ.km),Electric Stress at Conductor Screen (kV/mm),Charging Current at Rated Voltage & 50Hz (A/phase/km),Short Circuit Rating,Continuous Current Rating,Inductance (mH/km),"Inductive Reactance, at 50Hz (Ω/km)",Max. Pulling Tension on Conductors (kN),Max. Pulling Tension on Armour Wires (kN),"Inductive, Trefoil Touching (mH/km)","Inductive Reactance, (Ω/km)"
1CCUX3HD,13,,120,12.9,2.0,25.4,90,6.0,2.3,460,300,0.253,0.325,0.347,0.109,1.19+ j0.0471,0.554,"4,600",1.08,0.331,11.3,260,,,,,,
1CCUX3HD,13,,150,14.2,2.0,26.7,100,7.5,2.5,480,320,0.206,0.265,0.337,0.106,1.14+ j0.0448,0.601,"4,200",1.07,0.359,14.2,295,,,,,,
1CCUX3HD,13,,185,16.0,2.0,28.5,110,9.3,2.8,510,340,0.164,0.211,0.323,0.101,1.10+ j0.0415,0.663,"3,800",1.06,0.395,17.5,330,,,,,,
1CCUX3HD,13,,240,18.1,2.0,30.8,135,12,3.3,550,370,0.125,0.162,0.313,0.0983,1.06+ j0.0390,0.737,"3,400",1.05,0.440,22.7,385,,,,,,
1CCUX3HD,13,,300,20.6,2.0,33.5,155,15,3.9,600,400,0.100,0.130,0.303,0.0953,1.03+ j0.0367,0.824,"3,000",1.03,0.492,28.3,430,,,,,,
1CCUX3HD,13,,400,23.5,2.0,37.2,190,20,4.8,670,450,0.0778,0.102,0.298,0.0935,1.01+ j0.0357,0.943,"2,700",1.02,0.563,37.8,495,,,,,,
1CCUX3HD,13,,500,26.6,2.2,40.9,225,25,5.8,740,490,0.0605,0.0805,0.292,0.0916,0.996+ j0.0344,0.962,"2,600",0.929,0.574,47.2,560,,,,,,
1CCUX3HD,13,,630,30.2,2.4,45.1,280,25,7.1,810,540,0.0469,0.0640,0.285,0.0896,0.982+ j0.0332,0.993,"2,500",0.850,0.593,59.5,635,,,,,,
1CALX3HD,14,1CALX3HD,25,6.1,2.0,18.6,45,1.3,1.2,330,220,1.20,1.54,0.449,0.141,2.37+ j0.0720,0.316,"8,300",1.19,0.189,2.4,115,,,,,,
1CALX3HD,14,,35,7.1,2.0,19.6,55,1.8,1.3,350,240,0.868,1.11,0.427,0.134,1.71+ j0.0665,0.353,"7,300",1.16,0.211,3.3,135,,,,,,
