File Name,Approximate weight (kg/100m),Armour type,Cable flexibility,Cable length (m),Cable exibility,Capacitance (All Main Cores ­ Screen) (µF / km),Capacitance (One Main Core ­ Other & Screen) (µF / km),Capacitance 3 phase operating (µF / km),Colour,Combined earth size section (mm²),Conductor AC resistance at 50 Hz (Ohm/km),Conductor cross-section (mm²),Conductor cross­section (mm²),Conductor flexibility,Conductor material,Conductor shape,Conductor exibility,Diameter over armour (mm),Diameter over screen (mm),Earth conductor cross section (mm²),Inductive reactance at 50 Hz (Ohm/km),Inductive reactance at 50 Hz - flat touching (Ohm/km),Inductive reactance at 50 Hz - trefoil (Ohm/km),Insulation,Insulation resistance at 20°C (MOhm.km),Material of bedding,Max. DC resistance of the conductor at 20°C (Ohm/km),Maximum Pull Tension of Armour (kN),Maximum Pull Tension of Conductor (kN),Maximum Pulling Tension (kN),Minimum Bend Radius - During Installation (under Tension) (mm),Minimum Bend Radius - Installed (mm),Minimum Bend Radius ­ During Installation (under Tension) (mm),Minimum Bend Radius ­ Installed (mm),Nominal diameter over bedding (mm),Nominal insulation thickness (mm),Nominal outer sheath thickness (mm),Nominal overall diameter (mm),Number of cores,Number of earth cores,Outer sheath,Rated Voltage Uo/U (Um) (V),Rated Voltage Uo/U (Um) (kV),Screen,Type of conductor,Type of conductor Compact,Type of conductor Compressed,With Green/Yellow core
Nexans_HNHP07AA004OMAA.pdf,30.0,,Rigid,,,,,,Orange,,9.01,2.5,,Class 2,Copper,Circular,,,,2.5,0.101,,,V-90,14,,7.41,,1,1.6,80,53,,,,0.8,1.8,13.3,4,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_HTHC19AA004OMAA.pdf,224.0,,Rigid,,,,,,Orange,,0.494,50,,Class 2,Copper,Circular,,,,16,0.075,,,X-90,410,,0.387,,,3.5,350,230,,,,1.0,1.9,29.3,5,1,PVC,,"0,6/1",,,copper,,Yes
Nexans_FTHC19AA003OMAA.pdf,174.3,,Rigid,,,,,,Orange,,0.494,50,,Class 2,Copper,Circular,,,,16,0.075,,,X-90,410,,0.387,,10,3.19,319,213,,,,1.0,1.8,26.6,3,1,PVC,,"0,6/1",,,copper,,Yes
Nexans_FTDP15AA003CXRJ.pdf,89.0,,,,Rigid,0.747,0.413,0.498,,7.5,1.47,,16,,Copper,Circular,Class 2,,17.5,,0.08,,,,520,PVC filler,1.15,,,2.54,,,380,255,,0.8,,21.2,3,3,PVC,,"0,6/1",Copper tape,,,,
Nexans_BDBC20AA001CXNA.pdf,73.0,,Rigid,,,,,,,,0.471,70,,Class 2,Copper,Circular,,,,,,0.108,0.092,X-90,270,,0.268,,5,1.8,180,120,,,,1.1,1.4,14.7,1,,PVC,,"0,6/1",,,copper,,
Nexans_DNHP15AA002OMAA.pdf,59.7,,Rigid,500,,,,,Orange,,1.4,16,,Class 2,Copper,Circular,,,,6,0.086,,,V-90,8.4,,1.15,,2,2.2,110,72,,,,1.0,1.8,18.0,2,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_FTHP15AA003OMAA.pdf,68.3,,Rigid,,,,,,Orange,,1.47,16,,Class 2,Copper,Circular,,,,6,0.081,,,X-90,520,,1.15,,3,2.24,112,75,,,,0.8,1.8,18.7,3,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_HNHP11AA004OMAA.pdf,52.0,,Rigid,,,,,,Orange,,3.75,6,,Class 2,Copper,Circular,,,,2.5,0.095,,,V-90,12,,3.08,,2,2,99,66,,,,1.0,1.8,16.5,4,1,PVC,,"0,6/1",,Stranded copper,,,Yes
Nexans_BDBP28AA001CXNA.pdf,386.0,,Rigid,,,,,,,,0.062,400,,Class 2,Copper,Circular,,,,,,0.096,0.08,X-90,200,,0.047,,25,4,300,200,,,,2.0,1.9,33.3,1,,PVC,,"0,6/1",,Stranded copper,,,
Nexans_FNHP09AA003OMAA.pdf,34.0,,Rigid,,,,,,Orange,,5.61,4,,Class 2,Copper,Circular,,,,2.5,0.102,,,V-90,14,,4.61,,1,1.7,85,56,,,,1.0,1.8,14.1,3,1,PVC,,"0,6/1",,Stranded copper,,,Yes
